		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   29   24   24   31   25   27   33   28  6.743112 0.564586 SUCCESS   0
000000011   27   26   28   30   23   22   33   30  7.064835 0.529654 SUCCESS   1
000000101   22   28   24   19   25   29   26   27  3.342522 0.911062 SUCCESS   2
000000111   24   13   24   29   22   20   24   26  7.593756 0.474124 SUCCESS   3
000001001   27   24   14   19   29   20   23   30  9.238114 0.322609 SUCCESS   4
000001011   24   24   22   23   21   30   23   33  5.376124 0.716722 SUCCESS   5
000001101   29   25   20   26   23   15   31   29  8.409316 0.394541 SUCCESS   6
000001111   26   25   17   21   19   22   26   26  4.628087 0.796486 SUCCESS   7
000010001   28   24   23   31   25   24   23   21  3.079716 0.929256 SUCCESS   8
000010011   21   26   20   19   24   24   17   25  5.000120 0.757563 SUCCESS   9
000010101   21   24   31   32   26   19   17   26  8.561571 0.380619 SUCCESS  10
000010111   24   27   25   19   32   24   28   33  7.682462 0.465086 SUCCESS  11
000011001   21   19   23   31   22   29   21   31  7.129709 0.522705 SUCCESS  12
000011011   23   29   30   21   21   23   28   33  7.054905 0.530721 SUCCESS  13
000011101   29   26   26   28   23   23   22   26  2.182072 0.974915 SUCCESS  14
000011111   29   20   23   24   19   22   27   24  3.578187 0.893038 SUCCESS  15
000100011   34   22   26   27   17   23   20   26  7.875098 0.445765 SUCCESS  16
000100101   28   25   19   20   26   25   21   29  4.129616 0.845244 SUCCESS  17
000100111   18   20   24   15   23   29   22   23  7.609644 0.472499 SUCCESS  18
000101001   27   20   32   20   29   24   21   20  6.586885 0.581787 SUCCESS  19
000101011   24   22   27   31   29   16   14   23 10.932783 0.205537 SUCCESS  20
000101101   24   21   15   28   17   25   23   27  7.491812 0.484614 SUCCESS  21
000101111   22   18   18   12   36   33   33   23 22.279778 0.004423 FAILURE  22
000110011   20   30   17   26   29   19   24   27  7.001947 0.536423 SUCCESS  23
000110101   23   22   23   20   24   17   24   25  3.576863 0.893143 SUCCESS  24
000110111   28   30   42   21   20   18   26   25 18.172194 0.019972 SUCCESS  25
